hours since start,p_minus[kW],p[kW],p_plus[kW]
0,523,523,523
1,523,523,523
2,260,260,260
3,523,523,523
4,920,920,920
5,920,920,920
6,523,523,523
7,523,523,523
8,523,523,523
9,523,523,523
10,523,523,523
11,260,260,260
12,523,523,523
13,260,260,260
14,104,104,104
15,104,104,104
16,104,104,104
17,104,104,104
18,104,104,104
19,104,104,104
20,104,104,104
21,260,523,523
22,523,260,260
23,523,104,523
24,2151,260,260
25,1471,523,920
26,2151,523,104
27,2151,2151,260
28,2151,1471,523
29,4119,2151,523
30,3481,2151,2151
31,3903,2151,1471
32,3903,4119,2151
33,2867,3481,2151
34,2867,3903,2151
35,920,3903,4119
36,523,2867,3481
37,260,2867,3903
38,104,920,3903
39,523,523,2867
40,260,260,2867
41,523,523,920
42,260,260,523
43,920,920,260
44,260,260,260
45,523,523,523
46,22,22,22
47,104,104,104
48,260,260,260
49,260,260,260
50,260,260,260
51,920,920,920
52,260,260,260
53,260,260,260
54,523,523,523
55,104,104,104
56,523,523,523
57,523,523,523
58,920,920,920
59,920,920,920
60,920,920,920
61,920,920,920
62,920,920,920
63,260,260,260
64,523,523,523
65,260,260,260
66,260,260,260
67,260,260,260
68,260,260,260
69,260,260,260
70,260,260,260
71,523,523,523
72,260,260,260
73,260,260,260
74,260,260,260
75,260,260,260
76,523,523,523
77,104,104,104
78,260,260,260
79,260,260,260
80,260,260,260
81,260,260,260
82,260,260,260
83,260,260,260
84,260,260,260
85,260,260,260
86,523,523,523
87,260,260,260
88,260,260,260
89,22,22,22
90,22,22,22
91,260,260,260
92,104,104,104
93,104,104,104
94,104,104,104
95,22,22,22
96,22,22,22
97,22,22,22
98,104,104,104
99,104,104,104
100,260,260,260
101,104,104,104
102,104,104,104
103,104,104,104
104,104,104,104
105,104,104,104
106,260,260,260
107,260,260,260
108,260,260,260
109,260,260,260
110,260,260,260
111,523,523,523
112,260,260,260
113,523,523,523
114,523,523,523
115,260,260,260
116,104,104,104
117,260,260,260
118,104,104,104
119,104,104,104
120,104,104,104
121,104,104,104
122,104,104,104
123,22,22,22
124,104,104,104
125,22,22,22
126,104,104,104
127,260,260,260
128,260,260,260
129,104,104,104
130,260,260,260
131,260,260,260
132,260,260,260
133,523,523,523
134,523,523,523
135,523,523,523
136,523,523,523
137,260,260,260
138,523,523,523
139,920,920,920
140,523,523,523
141,260,260,260
142,104,104,104
143,260,260,260
144,260,260,260
145,260,260,260
146,260,260,260
147,260,260,260
148,260,260,260
149,260,260,260
150,104,104,104
151,260,260,260
152,260,260,260
153,260,260,260
154,523,523,523
155,523,523,523
156,260,260,260
157,260,260,260
158,260,260,260
159,523,523,523
160,260,260,260
161,523,523,523
162,920,920,920
163,920,920,920
164,920,920,920
165,920,920,920
166,523,523,523
167,260,260,260
168,260,260,260
